"";"word"
"1";"PiS"
"2";"Kaczyński"
"3";"Kaczynski"
"4";"prezes"
"5";"GW"
"6";"Gazeta Wyborcza"
"7";"taśmy"
"8";"afera"
"9";"taśmowa"
"10";"polexit"
"11";"PO"
"12";"Koalicja Europejska"
"13";"POKO"
"14";"Koalicja Obywatelska"
"15";"KO"
"16";"silniRazem"
"17";"Wiosna"
"18":"PSL"
"19";"Razem"
"20";"Kukiz15"
"21";"Schetyna"
"22";"Schetyny"
"23";"Kaczynskiego"
"24";"Kaczyńskiego"
"25";"Tusk"
"26";"Tuska"
"27"; "#AbortoLegal"
"28"; "#AbortoLegal2020"
"29"; "#19F"
"30"; "#ElProyectoEstáEnLasCalles"
"31"; "#SeráLey"
"32"; "#AbortoLegalSeguroYGratuitoYa"
"33"; "#NiUnaMenos"
"34"; "#VivasNosQueremos"
"35"; "#8M"
"36"; "#LibresNosQueremos"
"37"; "#DesendeudadasNosQueremos"
"38"; "#No+"
"39"; "#Somos+"
"40"; "#FuerzaFeminista"
"41"; "#ProgramaFeminista"
